<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240701;112400;11.721;11.722;11.717;11.718;1966
240701;112500;11.718;11.719;11.718;11.718;1160
240701;112600;11.718;11.724;11.718;11.722;2523
240701;112700;11.722;11.722;11.718;11.72;1193
240701;112800;11.719;11.723;11.719;11.72;1798
240701;112900;11.72;11.722;11.72;11.72;1573
240701;113000;11.72;11.721;11.72;11.721;691
240701;113100;11.721;11.722;11.721;11.721;1263
240701;113200;11.722;11.727;11.722;11.725;2935
240701;113300;11.724;11.725;11.723;11.723;1069
240701;113400;11.723;11.724;11.722;11.724;691
240701;113500;11.724;11.727;11.722;11.727;1245
240701;113600;11.727;11.745;11.689;11.709;13619
240701;113700;11.702;11.738;11.702;11.734;1235
240701;113800;11.734;11.747;11.734;11.747;4124
240701;113900;11.746;11.753;11.741;11.741;4097
240701;114000;11.742;11.755;11.742;11.745;471
240701;114100;11.742;11.744;11.74;11.744;349
240701;114200;11.744;11.744;11.743;11.744;813
240701;114300;11.745;11.748;11.744;11.746;1651
240701;114400;11.747;11.755;11.746;11.755;1422
240701;114500;11.754;11.758;11.75;11.754;1008
240701;114600;11.754;11.76;11.747;11.753;2829
240701;114700;11.754;11.763;11.754;11.761;5784
240701;114800;11.761;11.769;11.761;11.769;1052
240701;114900;11.769;11.769;11.766;11.768;1579
240701;115000;11.768;11.771;11.767;11.769;2387
240701;115100;11.769;11.769;11.767;11.767;277
240701;115200;11.767;11.768;11.763;11.766;504
240701;115300;11.766;11.773;11.765;11.773;528
240701;115400;11.771;11.774;11.767;11.768;453
240701;115500;11.766;11.769;11.764;11.764;571
240701;115600;11.765;11.765;11.764;11.765;331
240701;115700;11.763;11.764;11.757;11.762;1508
240701;115800;11.763;11.767;11.763;11.765;376
240701;115900;11.765;11.765;11.763;11.763;173
240701;120000;11.762;11.769;11.762;11.766;466
240701;120100;11.762;11.766;11.761;11.766;116
240701;120200;11.764;11.766;11.762;11.766;204
240701;120300;11.77;11.772;11.769;11.771;40
240701;120400;11.771;11.775;11.77;11.775;122
240701;120500;11.775;11.786;11.775;11.785;2217
240701;120600;11.785;11.799;11.785;11.794;3632
240701;120700;11.795;11.795;11.788;11.79;103
240701;120800;11.79;11.79;11.788;11.788;96
240701;120900;11.789;11.799;11.789;11.798;867
240701;121000;11.798;11.798;11.793;11.796;705
240701;121100;11.795;11.803;11.795;11.802;3392
240701;121200;11.803;11.803;11.799;11.799;1948
240701;121300;11.799;11.803;11.796;11.802;10285
240701;121400;11.801;11.805;11.801;11.805;2267
240701;121500;11.805;11.81;11.805;11.81;3185
240701;121600;11.811;11.815;11.81;11.815;3860
240701;121700;11.815;11.824;11.814;11.824;4245
